"","Engineering","Business","Physical Sciences","Law & Public Policy","Computers & Mathematics","Agriculture & Natural Resources","Industrial Arts & Consumer Services","Arts","Health","Social Science","Biology & Life Science","Education","Humanities & Liberal Arts","Psychology & Social Work","Communications & Journalism","Interdisciplinary"
"Engineering",0,0.179908094724746,0.998849254276435,0.591065175924688,0.0180272390452165,0.497878083106893,0.993733126780995,0.629526836298577,0.980976622053863,0.72963282484381,0.399626627176051,0.270667384678294,0.0744157197762804,0.900271187352129,0.762721833093368,0
"Business",0.179908094724746,0,0.248012016496788,0.138921061877214,0.034183112137305,0.44243673943262,0.239677410288056,0.14845959658114,0.192502086958259,0.155742779682909,0.456363196561387,0.0881799635898444,0.0432416418794474,0.1963937594613,0.36090867647066,0
"Physical Sciences",0.998849254276435,0.248012016496788,0,0.674243898358755,0.239267321419907,0.608883565115836,0.99620313123706,0.70708686354412,0.987089286294803,0.809847472502704,0.546555138104895,0.597398292274831,0.300396473386723,0.928134105889819,0.807030466418569,0
"Law & Public Policy",0.591065175924688,0.138921061877214,0.674243898358755,0,0.517599276268838,0.35087723435494,0.660513831828354,0.967764924388401,0.625485681594135,0.817805730059141,0.297851543647612,0.976242820711411,0.596876546127434,0.711080987670769,0.524290866262375,0
"Computers & Mathematics",0.0180272390452165,0.034183112137305,0.239267321419907,0.517599276268838,0,0.0667566626877046,0.21875674296544,0.486584241560724,0.0785386624366376,0.253208949924363,0.0312060445031125,0.109695142010459,0.866141683497773,0.201645878071906,0.215765566895705,0
"Agriculture & Natural Resources",0.497878083106893,0.44243673943262,0.608883565115836,0.35087723435494,0.0667566626877046,0,0.599432157118749,0.37494112630065,0.521095438128084,0.410646958390907,0.947396292226974,0.220792754213197,0.0935897062035999,0.511743152497923,0.814326997777043,0
"Industrial Arts & Consumer Services",0.993733126780995,0.239677410288056,0.99620313123706,0.660513831828354,0.21875674296544,0.599432157118749,0,0.694172084642724,0.981775284775776,0.797522726232233,0.534073389477224,0.572168227545321,0.277335379058479,0.920937053409169,0.804866284521923,0
"Arts",0.629526836298577,0.14845959658114,0.70708686354412,0.967764924388401,0.486584241560724,0.37494112630065,0.694172084642724,0,0.663409525701376,0.855204452490303,0.31950304197972,0.980817272983617,0.566684895811798,0.747297539486286,0.551823816588303,0
"Health",0.980976622053863,0.192502086958259,0.987089286294803,0.625485681594135,0.0785386624366376,0.521095438128084,0.981775284775776,0.663409525701376,0,0.770835250949277,0.435353837901335,0.42768447513289,0.14633362041588,0.923555380013855,0.764563551239391,0
"Social Science",0.72963282484381,0.155742779682909,0.809847472502704,0.817805730059141,0.253208949924363,0.410646958390907,0.797522726232233,0.855204452490303,0.770835250949277,0,0.339092388663744,0.756819726698234,0.342078430130526,0.866931221537239,0.624321295006925,0
"Biology & Life Science",0.399626627176051,0.456363196561387,0.546555138104895,0.297851543647612,0.0312060445031125,0.947396292226974,0.534073389477224,0.31950304197972,0.435353837901335,0.339092388663744,0,0.142108902806254,0.0523008716813572,0.439967658701132,0.760290864362408,0
"Education",0.270667384678294,0.0881799635898444,0.597398292274831,0.976242820711411,0.109695142010459,0.220792754213197,0.572168227545321,0.980817272983617,0.42768447513289,0.756819726698234,0.142108902806254,0,0.289749631697534,0.613756097004823,0.45280800876217,0
"Humanities & Liberal Arts",0.0744157197762804,0.0432416418794474,0.300396473386723,0.596876546127434,0.866141683497773,0.0935897062035999,0.277335379058479,0.566684895811798,0.14633362041588,0.342078430130526,0.0523008716813572,0.289749631697534,0,0.274040049191596,0.24715971898952,0
"Psychology & Social Work",0.900271187352129,0.1963937594613,0.928134105889819,0.711080987670769,0.201645878071906,0.511743152497923,0.920937053409169,0.747297539486286,0.923555380013855,0.866931221537239,0.439967658701132,0.613756097004823,0.274040049191596,0,0.728104003771653,0
"Communications & Journalism",0.762721833093368,0.36090867647066,0.807030466418569,0.524290866262375,0.215765566895705,0.814326997777043,0.804866284521923,0.551823816588303,0.764563551239391,0.624321295006925,0.760290864362408,0.45280800876217,0.24715971898952,0.728104003771653,0,0
"Interdisciplinary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
