"","Engineering","Business","Physical Sciences","Law & Public Policy","Computers & Mathematics","Agriculture & Natural Resources","Industrial Arts & Consumer Services","Arts","Health","Social Science","Biology & Life Science","Education","Humanities & Liberal Arts","Psychology & Social Work","Communications & Journalism","Interdisciplinary"
"Engineering",0,0.13992337994859,0.440178491603217,0.655882651525366,0.30661922519167,0.577945799880757,0.574522410933582,0.972520259062892,0.93070649916453,0.919965421827921,0.212583037625107,0.103738725661823,0.17738416284672,0.515054243019826,0.302059192395303,0
"Business",0.13992337994859,0,0.343707579139871,0.109155697269087,0.0740665818905872,0.256990331991026,0.271829574256002,0.180938884304333,0.177264851923516,0.178891150386621,0.433234094146368,0.0526650749696557,0.0604513821840039,0.33885365930772,0.644759456495943,0
"Physical Sciences",0.440178491603217,0.343707579139871,0,0.32284364388532,0.187659220967518,0.808154979896601,0.837910823461686,0.5606339164444,0.560027060514224,0.565665954880995,0.773018561931368,0.110817777783732,0.138492354612095,0.962783224496704,0.619599126588101,0
"Law & Public Policy",0.655882651525366,0.109155697269087,0.32284364388532,0,0.680129987916284,0.415673906794556,0.418696780953763,0.743622931632729,0.688544604150026,0.679277625167398,0.15720605025387,0.416973894339383,0.516680231153101,0.385535155327169,0.237680418594061,0
"Computers & Mathematics",0.30661922519167,0.0740665818905872,0.187659220967518,0.680129987916284,0,0.233133114890246,0.248933553497364,0.517017178933701,0.444409805234599,0.43715328288821,0.0697136820790177,0.655299342216565,0.791972017922138,0.244867310805567,0.177416243895152,0
"Agriculture & Natural Resources",0.577945799880757,0.256990331991026,0.808154979896601,0.415673906794556,0.233133114890246,0,0.97327395768023,0.701604453146378,0.709001486657391,0.716133199140034,0.566036222778648,0.128234501578617,0.16611897548522,0.858028402700469,0.487357180685504,0
"Industrial Arts & Consumer Services",0.574522410933582,0.271829574256002,0.837910823461686,0.418696780953763,0.248933553497364,0.97327395768023,0,0.687571826863331,0.694633163124862,0.701416172573932,0.602967637430294,0.14933577290345,0.185081333794638,0.884756292889794,0.508466214843718,0
"Arts",0.972520259062892,0.180938884304333,0.5606339164444,0.743622931632729,0.517017178933701,0.701604453146378,0.687571826863331,0,0.971561347855527,0.963667172617328,0.364997752413333,0.348990263680285,0.4117905739867,0.613380757829527,0.350322722876955,0
"Health",0.93070649916453,0.177264851923516,0.560027060514224,0.688544604150026,0.444409805234599,0.709001486657391,0.694633163124862,0.971561347855527,0,0.99159865975811,0.349302701083553,0.271793473640766,0.336345487556594,0.617425973754657,0.349703274551758,0
"Social Science",0.919965421827921,0.178891150386621,0.565665954880995,0.679277625167398,0.43715328288821,0.716133199140034,0.701416172573932,0.963667172617328,0.99159865975811,0,0.354054570586197,0.268417060567914,0.331145129203441,0.623048093290052,0.352854039096773,0
"Biology & Life Science",0.212583037625107,0.433234094146368,0.773018561931368,0.15720605025387,0.0697136820790177,0.566036222778648,0.602967637430294,0.364997752413333,0.349302701083553,0.354054570586197,0,0.0322492554445558,0.0451911868768409,0.748233405713459,0.769002379857696,0
"Education",0.103738725661823,0.0526650749696557,0.110817777783732,0.416973894339383,0.655299342216565,0.128234501578617,0.14933577290345,0.348990263680285,0.271793473640766,0.268417060567914,0.0322492554445558,0,0.860917532631684,0.157752870281241,0.140057586879443,0
"Humanities & Liberal Arts",0.17738416284672,0.0604513821840039,0.138492354612095,0.516680231153101,0.791972017922138,0.16611897548522,0.185081333794638,0.4117905739867,0.336345487556594,0.331145129203441,0.0451911868768409,0.860917532631684,0,0.18946924834337,0.152841983257811,0
"Psychology & Social Work",0.515054243019826,0.33885365930772,0.962783224496704,0.385535155327169,0.244867310805567,0.858028402700469,0.884756292889794,0.613380757829527,0.617425973754657,0.623048093290052,0.748233405713459,0.157752870281241,0.18946924834337,0,0.603920380371506,0
"Communications & Journalism",0.302059192395303,0.644759456495943,0.619599126588101,0.237680418594061,0.177416243895152,0.487357180685504,0.508466214843718,0.350322722876955,0.349703274551758,0.352854039096773,0.769002379857696,0.140057586879443,0.152841983257811,0.603920380371506,0,0
"Interdisciplinary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
